ID,New
SmallRetained,Small
SmallLost,N/A
MediumRetained,Medium
MediumLost,N/A
LargeRetained,Large
LargeLost,N/A
Very largeRetained,Very large
Very largeLost,N/A
N/ACreated,(no selection)
N/ACreated,Small
N/ACreated,Medium
N/ACreated,Large
N/ACreated,Very large
