Retention,Broad Habitat,Habitat,Baseline UKHAB,Baseline Distinctivness
Created,Individual tree,Urban tree,1170,Medium
Lost,N/A,N/A,N/A,N/A
Retained,Individual tree,Urban tree,1170,Medium
Created,Individual tree,Rural tree,1170,Medium
Lost,N/A,N/A,N/A,N/A
Retained,Individual tree,Rural tree,1170,Medium
