Value,Description
Canals,No Encroachment
Canals,Minor
Canals,Major
Culvert,N/A - Culvert
Ditches,No Encroachment
Ditches,Minor
Ditches,Major
Other rivers and streams,No Encroachment
Other rivers and streams,Minor
Other rivers and streams,Major
Priority habitat,No Encroachment
Priority habitat,Minor
Priority habitat,Major
To be created,N/A
N/A,N/A
